Date : 2022-02-10 22:06:21
Directory : c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder
Total : 717 files,  144307 codes, 26065 comments, 18386 blanks, all 188758 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\countries.js                           | JavaScript         |         35 |          0 |          2 |         37 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\disciplines.js                         | JavaScript         |         73 |          0 |          2 |         75 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\disciplinesonsite.js                   | JavaScript         |         42 |          0 |          2 |         44 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\eventgroups.js                         | JavaScript         |         52 |          0 |          2 |         54 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\events.js                              | JavaScript         |         95 |          0 |          2 |         97 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\groups.js                              | JavaScript         |         74 |          0 |          2 |         76 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\heightincreases.js                     | JavaScript         |         53 |          0 |          2 |         55 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\heights.js                             | JavaScript         |         51 |          0 |          2 |         53 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\init-models.js                         | JavaScript         |        256 |          0 |          4 |        260 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\inscriptions.js                        | JavaScript         |         47 |          0 |          2 |         49 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\meetings.js                            | JavaScript         |         85 |          0 |          2 |         87 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\modules.js                             | JavaScript         |         48 |          0 |          2 |         50 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\regions.js                             | JavaScript         |         55 |          0 |          2 |         57 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\relayathletepositions.js               | JavaScript         |         57 |          0 |          2 |         59 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\relayathletes.js                       | JavaScript         |         58 |          0 |          2 |         60 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\relays.js                              | JavaScript         |        100 |          0 |          2 |        102 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\resultshigh.js                         | JavaScript         |         72 |          0 |          2 |         74 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\resultstech.js                         | JavaScript         |         54 |          0 |          2 |         56 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\resultstechwind.js                     | JavaScript         |         60 |          0 |          2 |         62 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\resultstrack.js                        | JavaScript         |         44 |          0 |          2 |         46 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\rounds.js                              | JavaScript         |         75 |          0 |          2 |         77 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\series.js                              | JavaScript         |         72 |          0 |          2 |         74 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\series_track.js                        | JavaScript         |         46 |          0 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\seriesstarts_high.js                   | JavaScript         |         35 |          0 |          2 |         37 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\seriesstarts_track.js                  | JavaScript         |         33 |          0 |          2 |         35 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\seriesstartsresults.js                 | JavaScript         |         96 |          0 |          2 |         98 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\sites.js                               | JavaScript         |         41 |          0 |          2 |         43 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\sites_track.js                         | JavaScript         |         54 |          0 |          2 |         56 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\starts.js                              | JavaScript         |         92 |          0 |          2 |         94 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\startsingroup.js                       | JavaScript         |         79 |          0 |          2 |         81 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\teaminscriptions.js                    | JavaScript         |         46 |          0 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDefineDiszMod\teams.js                               | JavaScript         |         67 |          0 |          2 |         69 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\athletes.js                                  | JavaScript         |        101 |          0 |          2 |        103 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\basedisciplinelocalizations.js               | JavaScript         |         65 |          0 |          2 |         67 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\basedisciplines.js                           | JavaScript         |         59 |          0 |          2 |         61 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\categories.js                                | JavaScript         |         84 |          0 |          2 |         86 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\clubs.js                                     | JavaScript         |         71 |          0 |          2 |         73 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\combinedevents.js                            | JavaScript         |         66 |          0 |          2 |         68 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\competitions.js                              | JavaScript         |         43 |          0 |          2 |         45 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\contest_high.js                              | JavaScript         |         36 |          0 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\contests.js                                  | JavaScript         |         72 |          0 |          2 |         74 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\contests_tech.js                             | JavaScript         |         61 |          0 |          2 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\contests_track.js                            | JavaScript         |         41 |          0 |          2 |         43 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\conversionparams.js                          | JavaScript         |         58 |          0 |          2 |         60 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\conversions.js                               | JavaScript         |         46 |          0 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\countries.js                                 | JavaScript         |         35 |          0 |          2 |         37 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\disciplines.js                               | JavaScript         |         73 |          0 |          2 |         75 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\disciplinesonsite.js                         | JavaScript         |         42 |          0 |          2 |         44 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\eventgroups.js                               | JavaScript         |         52 |          0 |          2 |         54 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\events.js                                    | JavaScript         |         95 |          0 |          2 |         97 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\groups.js                                    | JavaScript         |         74 |          0 |          2 |         76 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\heightincreases.js                           | JavaScript         |         53 |          0 |          2 |         55 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\heights.js                                   | JavaScript         |         51 |          0 |          2 |         53 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\init-models.js                               | JavaScript         |        256 |          0 |          4 |        260 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\inscriptions.js                              | JavaScript         |         47 |          0 |          2 |         49 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\meetings.js                                  | JavaScript         |         85 |          0 |          2 |         87 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\modules.js                                   | JavaScript         |         48 |          0 |          2 |         50 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\regions.js                                   | JavaScript         |         55 |          0 |          2 |         57 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\relayathletepositions.js                     | JavaScript         |         57 |          0 |          2 |         59 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\relayathletes.js                             | JavaScript         |         58 |          0 |          2 |         60 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\relays.js                                    | JavaScript         |        100 |          0 |          2 |        102 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\resultshigh.js                               | JavaScript         |         72 |          0 |          2 |         74 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\resultstech.js                               | JavaScript         |         54 |          0 |          2 |         56 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\resultstechwind.js                           | JavaScript         |         60 |          0 |          2 |         62 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\resultstrack.js                              | JavaScript         |         44 |          0 |          2 |         46 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\rounds.js                                    | JavaScript         |         75 |          0 |          2 |         77 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\series.js                                    | JavaScript         |         72 |          0 |          2 |         74 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\series_track.js                              | JavaScript         |         46 |          0 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\seriesstarts_high.js                         | JavaScript         |         35 |          0 |          2 |         37 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\seriesstarts_track.js                        | JavaScript         |         33 |          0 |          2 |         35 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\seriesstartsresults.js                       | JavaScript         |         87 |          0 |          2 |         89 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\sites.js                                     | JavaScript         |         41 |          0 |          2 |         43 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\sites_track.js                               | JavaScript         |         54 |          0 |          2 |         56 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\starts.js                                    | JavaScript         |         92 |          0 |          2 |         94 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\startsingroup.js                             | JavaScript         |         79 |          0 |          2 |         81 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\teaminscriptions.js                          | JavaScript         |         46 |          0 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeetingDiszMod\teams.js                                     | JavaScript         |         67 |          0 |          2 |         69 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\athletes.js                                         | JavaScript         |        104 |          0 |          2 |        106 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\categories.js                                       | JavaScript         |         80 |          0 |          2 |         82 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\clubs.js                                            | JavaScript         |         74 |          0 |          2 |         76 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\competitions.js                                     | JavaScript         |         46 |          0 |          2 |         48 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\contest.js                                          | JavaScript         |         70 |          0 |          2 |         72 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\contest_high.js                                     | JavaScript         |         39 |          0 |          2 |         41 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\contest_tech.js                                     | JavaScript         |         63 |          0 |          2 |         65 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\contest_track.js                                    | JavaScript         |         44 |          0 |          2 |         46 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\conversionparams.js                                 | JavaScript         |         61 |          0 |          2 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\conversions.js                                      | JavaScript         |         49 |          0 |          2 |         51 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\countries.js                                        | JavaScript         |         38 |          0 |          2 |         40 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\disciplines.js                                      | JavaScript         |        110 |          0 |          2 |        112 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\disciplineslocalizations.js                         | JavaScript         |         59 |          0 |          2 |         61 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\disciplinesonsite.js                                | JavaScript         |         56 |          0 |          2 |         58 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\eventgroup.js                                       | JavaScript         |         55 |          0 |          2 |         57 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\events - original.js                                | JavaScript         |         93 |          0 |          2 |         95 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\events.js                                           | JavaScript         |         93 |          2 |          2 |         97 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\groups.js                                           | JavaScript         |         70 |          0 |          2 |         72 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\heightincreases.js                                  | JavaScript         |         56 |          0 |          2 |         58 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\heights.js                                          | JavaScript         |         54 |          0 |          2 |         56 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\init-models.js                                      | JavaScript         |        244 |          0 |          4 |        248 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\inscriptions.js                                     | JavaScript         |         49 |          0 |          2 |         51 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\meetings.js                                         | JavaScript         |         88 |          0 |          2 |         90 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\modules.js                                          | JavaScript         |         51 |          0 |          2 |         53 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\regions.js                                          | JavaScript         |         58 |          0 |          2 |         60 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\relayathletepositions.js                            | JavaScript         |         60 |          0 |          2 |         62 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\relays.js                                           | JavaScript         |         92 |          0 |          2 |         94 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\relaysathletes.js                                   | JavaScript         |         61 |          0 |          2 |         63 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\resultshigh.js                                      | JavaScript         |         74 |          0 |          2 |         76 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\resultstech.js                                      | JavaScript         |         57 |          0 |          2 |         59 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\resultstechwind.js                                  | JavaScript         |         63 |          0 |          2 |         65 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\resultstrack.js                                     | JavaScript         |         37 |          0 |          2 |         39 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\rounds.js                                           | JavaScript         |         69 |          0 |          2 |         71 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\series.js                                           | JavaScript         |         84 |          0 |          2 |         86 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\series_track.js                                     | JavaScript         |         48 |          0 |          2 |         50 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\seriesstarts_high.js                                | JavaScript         |         38 |          0 |          2 |         40 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\seriesstarts_track.js                               | JavaScript         |         36 |          0 |          2 |         38 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\seriesstartsresults.js                              | JavaScript         |         93 |          0 |          2 |         95 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\sites.js                                            | JavaScript         |         48 |          0 |          2 |         50 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\sites_track.js                                      | JavaScript         |         53 |          0 |          2 |         55 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\startgroup.js                                       | JavaScript         |         68 |          0 |          2 |         70 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\starts.js                                           | JavaScript         |         90 |          0 |          2 |         92 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\teaminscriptions.js                                 | JavaScript         |         49 |          0 |          2 |         51 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\modelsMeeting\teams.js                                            | JavaScript         |         69 |          0 |          2 |         71 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\anlage.js                     | JavaScript         |         27 |          1 |          2 |         30 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\anmeldung.js                  | JavaScript         |         90 |          1 |          2 |         93 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\athlet.js                     | JavaScript         |         98 |          1 |          2 |        101 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\backup.js                     | JavaScript         |         21 |          1 |          2 |         24 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\base_account.js               | JavaScript         |         31 |          1 |          2 |         34 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\base_athlete.js               | JavaScript         |         67 |          1 |          2 |         70 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\base_log.js                   | JavaScript         |         27 |          1 |          2 |         30 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\base_performance.js           | JavaScript         |         77 |          1 |          2 |         80 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\base_relay.js                 | JavaScript         |         37 |          1 |          2 |         40 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\base_svm.js                   | JavaScript         |         32 |          1 |          2 |         35 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\disziplin_de.js               | JavaScript         |         72 |          1 |          2 |         75 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\disziplin_fr.js               | JavaScript         |         72 |          1 |          2 |         75 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\disziplin_it.js               | JavaScript         |         72 |          1 |          2 |         75 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\faq.js                        | JavaScript         |         66 |          1 |          2 |         69 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\hoehe.js                      | JavaScript         |         27 |          1 |          2 |         30 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\kategorie.js                  | JavaScript         |         53 |          1 |          2 |         56 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\kategorie_svm.js              | JavaScript         |         22 |          1 |          2 |         25 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\land.js                       | JavaScript         |         22 |          1 |          2 |         25 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\layout.js                     | JavaScript         |        117 |          1 |          2 |        120 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\meeting.js                    | JavaScript         |        106 |          1 |          2 |        109 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\omega_typ.js                  | JavaScript         |         22 |          1 |          2 |         25 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\palmares.js                   | JavaScript         |         18 |          1 |          2 |         21 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\region.js                     | JavaScript         |         32 |          1 |          2 |         35 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\rekorde.js                    | JavaScript         |         42 |          1 |          2 |         45 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\resultat.js                   | JavaScript         |         32 |          1 |          2 |         35 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\runde.js                      | JavaScript         |        121 |          1 |          2 |        124 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\rundenlog.js                  | JavaScript         |         27 |          1 |          2 |         30 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\rundenset.js                  | JavaScript         |         29 |          1 |          2 |         32 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\rundentyp_de.js               | JavaScript         |         34 |          1 |          2 |         37 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\rundentyp_fr.js               | JavaScript         |         34 |          1 |          2 |         37 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\rundentyp_it.js               | JavaScript         |         34 |          1 |          2 |         37 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\serie.js                      | JavaScript         |         55 |          1 |          2 |         58 |
| c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\Archiv\oldSequelizeModels\modelsAthletica1\serienstart.js                | JavaScript         |         72 |          1 |          2 |         75 |
